videoID,channelID,channelTitle,channelDate,channelViewCount,channelSubscriberCount,channelVideoCount,channelCountry,commentDate,commentLikeCount,videoGenre,hasDescription,channelDescription,defaultProfilePic,isDuplicateComment,label,comment_hour,comment_dayofweek,time_of_day,account_age_days,account_age_bin,has_likes,likes_bin,subscriber_bin,video_count_bin,is_duplicate,has_country,has_description,has_default_pic,profile_complete_score,profile_complete_bin,comments_per_video,comments_per_video_bin,genre_group,pros_anomaly_score,num_features_used,account_age_bin_score,subscriber_bin_score,profile_complete_bin_score,time_of_day_score,is_duplicate_score,comments_per_video_bin_score,iso_forest_score,iso_forest_anomaly,pros_anomaly_binary,pros_pred,iso_pred
VID_0_0,CH_0000,Channel_0,2023-01-31 00:00:00+00:00,15127,1592,10,DE,2024-02-07 00:00:00+00:00,2,Music,True,Some description,True,0,0,0,2,Night (0-6),372.0,>1y,1,2-5,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.00470560808569804,3,0.0041405634383489785,0.0013047138892692814,0.00867154692947586,0.0,0.0,0.0,1,0,1,1,0
VID_0_1,CH_0000,Channel_0,2023-01-31 00:00:00+00:00,15127,1592,10,DE,2025-03-10 00:00:00+00:00,2,Music,True,Some description,True,0,0,0,0,Night (0-6),769.0,>1y,1,2-5,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.00470560808569804,3,0.0041405634383489785,0.0013047138892692814,0.00867154692947586,0.0,0.0,0.0,1,0,1,1,0
VID_0_2,CH_0000,Channel_0,2023-01-31 00:00:00+00:00,15127,1592,10,DE,2025-09-12 00:00:00+00:00,1,Music,True,Some description,True,0,0,0,4,Night (0-6),955.0,>1y,1,1,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.00470560808569804,3,0.0041405634383489785,0.0013047138892692814,0.00867154692947586,0.0,0.0,0.0,1,0,1,1,0
VID_0_3,CH_0000,Channel_0,2023-01-31 00:00:00+00:00,15127,1592,10,DE,2023-02-21 00:00:00+00:00,0,Music,True,Some description,True,0,0,0,1,Night (0-6),21.0,1w-1m,0,0,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.0047806737790351056,3,0.004365760518360175,0.0013047138892692814,0.00867154692947586,0.0,0.0,0.0,1,0,1,1,0
VID_0_4,CH_0000,Channel_0,2023-01-31 00:00:00+00:00,15127,1592,10,DE,2025-06-05 00:00:00+00:00,2,Music,True,Some description,True,0,0,0,3,Night (0-6),856.0,>1y,1,2-5,1k-10k,1-10,0,1,1,1,2,Medium,1,1,Music,0.00470560808569804,3,0.0041405634383489785,0.0013047138892692814,0.00867154692947586,0.0,0.0,0.0,1,0,1,1,0
VID_1_0,CH_0001,Channel_1,2021-11-30 00:00:00+00:00,15379,456,30,CA,2024-02-26 00:00:00+00:00,0,Entertainment,True,Some description,False,0,1,0,0,Night (0-6),818.0,>1y,0,0,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.0003011253468681377,3,0.0041405634383489785,-0.000900991108640153,-0.0023361962891044123,0.0,0.0,0.0,1,0,0,0,0
VID_1_1,CH_0001,Channel_1,2021-11-30 00:00:00+00:00,15379,456,30,CA,2024-03-19 00:00:00+00:00,0,Entertainment,True,Some description,False,1,1,0,1,Night (0-6),840.0,>1y,0,0,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.0003011253468681377,3,0.0041405634383489785,-0.000900991108640153,-0.0023361962891044123,0.0,0.0,0.0,1,0,0,0,0
VID_1_2,CH_0001,Channel_1,2021-11-30 00:00:00+00:00,15379,456,30,CA,2022-12-22 00:00:00+00:00,0,Entertainment,True,Some description,False,0,1,0,3,Night (0-6),387.0,>1y,0,0,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.0003011253468681377,3,0.0041405634383489785,-0.000900991108640153,-0.0023361962891044123,0.0,0.0,0.0,1,0,0,0,0
VID_1_3,CH_0001,Channel_1,2021-11-30 00:00:00+00:00,15379,456,30,CA,2021-12-13 00:00:00+00:00,0,Entertainment,True,Some description,False,0,1,0,0,Night (0-6),13.0,1w-1m,0,0,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.00037619104020520316,3,0.004365760518360175,-0.000900991108640153,-0.0023361962891044123,0.0,0.0,0.0,1,0,0,0,0
VID_1_4,CH_0001,Channel_1,2021-11-30 00:00:00+00:00,15379,456,30,CA,2024-01-15 00:00:00+00:00,0,Entertainment,True,Some description,False,1,1,0,0,Night (0-6),776.0,>1y,0,0,101-1k,11-50,0,1,1,0,3,High,1,1,Entertainment,0.0003011253468681377,3,0.0041405634383489785,-0.000900991108640153,-0.0023361962891044123,0.0,0.0,0.0,1,0,0,0,0
VID_2_0,CH_0002,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,2024-11-03 00:00:00+00:00,0,Entertainment,False,,True,0,1,0,6,Night (0-6),871.0,>1y,0,0,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,-0.0013071011469508126,3,0.0041405634383489785,0.0013047138892692814,-0.009366580768470698,0.0,0.0,0.0,1,0,0,0,0
VID_2_1,CH_0002,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,2023-07-10 00:00:00+00:00,0,Entertainment,False,,True,1,1,0,0,Night (0-6),389.0,>1y,0,0,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,-0.0013071011469508126,3,0.0041405634383489785,0.0013047138892692814,-0.009366580768470698,0.0,0.0,0.0,1,0,0,0,0
VID_2_2,CH_0002,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,2024-07-26 00:00:00+00:00,0,Entertainment,False,,True,1,1,0,4,Night (0-6),771.0,>1y,0,0,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,-0.0013071011469508126,3,0.0041405634383489785,0.0013047138892692814,-0.009366580768470698,0.0,0.0,0.0,1,0,0,0,0
VID_2_3,CH_0002,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,2024-05-18 00:00:00+00:00,0,Entertainment,False,,True,0,1,0,5,Night (0-6),702.0,>1y,0,0,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,-0.0013071011469508126,3,0.0041405634383489785,0.0013047138892692814,-0.009366580768470698,0.0,0.0,0.0,1,0,0,0,0
VID_2_4,CH_0002,Channel_2,2022-06-16 00:00:00+00:00,1301,1152,29,DE,2023-12-23 00:00:00+00:00,0,Entertainment,False,,True,0,1,0,5,Night (0-6),555.0,>1y,0,0,1k-10k,11-50,0,1,0,1,1,Low,1,1,Entertainment,-0.0013071011469508126,3,0.0041405634383489785,0.0013047138892692814,-0.009366580768470698,0.0,0.0,0.0,1,0,0,0,0
VID_3_0,CH_0003,Channel_3,2022-09-22 00:00:00+00:00,926,911,127,,2023-08-25 00:00:00+00:00,4,Howto & Style,True,Some description,False,0,0,0,4,Night (0-6),337.0,3m-1y,1,2-5,101-1k,101-500,0,0,1,0,2,Medium,1,1,Howto & Style,0.0009150872005440292,3,-0.005025294219203619,-0.000900991108640153,0.00867154692947586,0.0,0.0,0.0,1,0,0,0,0
VID_3_1,CH_0003,Channel_3,2022-09-22 00:00:00+00:00,926,911,127,,2023-02-25 00:00:00+00:00,1,Howto & Style,True,Some description,False,0,0,0,5,Night (0-6),156.0,3m-1y,1,1,101-1k,101-500,0,0,1,0,2,Medium,1,1,Howto & Style,0.0009150872005440292,3,-0.005025294219203619,-0.000900991108640153,0.00867154692947586,0.0,0.0,0.0,1,0,0,0,0
VID_3_2,CH_0003,Channel_3,2022-09-22 00:00:00+00:00,926,911,127,,2025-01-07 00:00:00+00:00,2,Howto & Style,True,Some description,False,0,0,0,1,Night (0-6),838.0,>1y,1,2-5,101-1k,101-500,0,0,1,0,2,Medium,1,1,Howto & Style,0.003970373086394895,3,0.0041405634383489785,-0.000900991108640153,0.00867154692947586,0.0,0.0,0.0,1,0,0,1,0
